,AQI
1721,89.0
1722,110.0
1723,110.0
1724,117.0
1725,100.0
1726,79.0
1727,59.0
1728,53.0
1729,51.0
1730,90.0
1731,97.0
1732,82.0
1733,71.0
1734,82.0
1735,79.0
1736,42.0
1737,89.0
1738,83.0
1739,69.0
1740,76.0
1741,90.0
1742,79.0
1743,110.0
1744,44.0
1745,88.0
1746,77.0
1747,88.0
1748,84.0
1749,79.0
1750,75.0
1751,85.0
1752,105.0
1753,113.0
1754,135.0
1755,137.0
1756,152.0
1757,133.0
1758,143.0
1759,117.0
1760,101.0
1761,109.0
1762,104.0
1763,103.0
1764,103.0
1765,51.0
1766,83.0
1767,116.0
1768,109.0
1769,94.0
1770,74.0
1771,75.0
